Strain ID	PseudoCAP version	Full organism name	Species	Strain	Number of genes	Assembly level	Biosample accession	Host taxonomic name	Host common name	Host taxonomy ID	Host NCBI taxonomy record	Assembly name	Refseq assembly accession	Number of scaffolds	Scaffold N50	Contig count	Contig N50	Download URL root	Genomic DNA fasta - file name	ORF DNA fasta - file name	Intergenic DNA (fasta) - file name	Amonio acid sequences (fasta) - file name	Tab-delimited annotations - file name	CSV format annotations - file name	GBK format annotations - file name	EMBL format annotations - file name	GFF3 annotations - file name	GFF3 annotations + genomic DNA sequence - file name	GTF format annotations (genes) - file name	GTF format annotations (genes and intergenic) - file name
2030	pgd_r_15_2	Pseudomonas aeruginosa Z61	Pseudomonas aeruginosa	Z61	5979	Scaffold	SAMN02360713	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	Pseu_aeru_Z61_V1	GCF_000520215.1	5	5056921	43	461579	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_Z61_2030	Pseudomonas_aeruginosa_Z61_2030.fna	Pseudomonas_aeruginosa_Z61_2030.ffn	Pseudomonas_aeruginosa_Z61_2030_intergenic.fasta	Pseudomonas_aeruginosa_Z61_2030.faa	Pseudomonas_aeruginosa_Z61_2030.txt	Pseudomonas_aeruginosa_Z61_2030.csv	Pseudomonas_aeruginosa_Z61_2030.gbk	Pseudomonas_aeruginosa_Z61_2030.embl	Pseudomonas_aeruginosa_Z61_2030.gff	Pseudomonas_aeruginosa_Z61_2030_seq.gff	Pseudomonas_aeruginosa_Z61_2030.gtf	Pseudomonas_aeruginosa_Z61_2030_genes_and_intergenic.gtf
2029	pgd_r_15_2	Pseudomonas aeruginosa PS50	Pseudomonas aeruginosa	PS50	6307	Scaffold	SAMN02360754	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	Pseu_aeru_PS50_V1	GCF_000520175.1	4	5173728	15	733360	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_PS50_2029	Pseudomonas_aeruginosa_PS50_2029.fna	Pseudomonas_aeruginosa_PS50_2029.ffn	Pseudomonas_aeruginosa_PS50_2029_intergenic.fasta	Pseudomonas_aeruginosa_PS50_2029.faa	Pseudomonas_aeruginosa_PS50_2029.txt	Pseudomonas_aeruginosa_PS50_2029.csv	Pseudomonas_aeruginosa_PS50_2029.gbk	Pseudomonas_aeruginosa_PS50_2029.embl	Pseudomonas_aeruginosa_PS50_2029.gff	Pseudomonas_aeruginosa_PS50_2029_seq.gff	Pseudomonas_aeruginosa_PS50_2029.gtf	Pseudomonas_aeruginosa_PS50_2029_genes_and_intergenic.gtf
2028	pgd_r_15_2	Pseudomonas aeruginosa JD335	Pseudomonas aeruginosa	JD335	6618	Contig	SAMN02360655					JD335.contigs	GCF_000506365.1			1820	6269	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD335_2028	Pseudomonas_aeruginosa_JD335_2028.fna	Pseudomonas_aeruginosa_JD335_2028.ffn	Pseudomonas_aeruginosa_JD335_2028_intergenic.fasta	Pseudomonas_aeruginosa_JD335_2028.faa	Pseudomonas_aeruginosa_JD335_2028.txt	Pseudomonas_aeruginosa_JD335_2028.csv	Pseudomonas_aeruginosa_JD335_2028.gbk	Pseudomonas_aeruginosa_JD335_2028.embl	Pseudomonas_aeruginosa_JD335_2028.gff	Pseudomonas_aeruginosa_JD335_2028_seq.gff	Pseudomonas_aeruginosa_JD335_2028.gtf	Pseudomonas_aeruginosa_JD335_2028_genes_and_intergenic.gtf
2027	pgd_r_15_2	Pseudomonas aeruginosa JD333	Pseudomonas aeruginosa	JD333	6809	Contig	SAMN02360653					JD333.contigs	GCF_000506345.1			1996	5517	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD333_2027	Pseudomonas_aeruginosa_JD333_2027.fna	Pseudomonas_aeruginosa_JD333_2027.ffn	Pseudomonas_aeruginosa_JD333_2027_intergenic.fasta	Pseudomonas_aeruginosa_JD333_2027.faa	Pseudomonas_aeruginosa_JD333_2027.txt	Pseudomonas_aeruginosa_JD333_2027.csv	Pseudomonas_aeruginosa_JD333_2027.gbk	Pseudomonas_aeruginosa_JD333_2027.embl	Pseudomonas_aeruginosa_JD333_2027.gff	Pseudomonas_aeruginosa_JD333_2027_seq.gff	Pseudomonas_aeruginosa_JD333_2027.gtf	Pseudomonas_aeruginosa_JD333_2027_genes_and_intergenic.gtf
2026	pgd_r_15_2	Pseudomonas aeruginosa JD334	Pseudomonas aeruginosa	JD334	7087	Contig	SAMN02360654					JD334.contigs	GCF_000506285.1			2128	5459	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD334_2026	Pseudomonas_aeruginosa_JD334_2026.fna	Pseudomonas_aeruginosa_JD334_2026.ffn	Pseudomonas_aeruginosa_JD334_2026_intergenic.fasta	Pseudomonas_aeruginosa_JD334_2026.faa	Pseudomonas_aeruginosa_JD334_2026.txt	Pseudomonas_aeruginosa_JD334_2026.csv	Pseudomonas_aeruginosa_JD334_2026.gbk	Pseudomonas_aeruginosa_JD334_2026.embl	Pseudomonas_aeruginosa_JD334_2026.gff	Pseudomonas_aeruginosa_JD334_2026_seq.gff	Pseudomonas_aeruginosa_JD334_2026.gtf	Pseudomonas_aeruginosa_JD334_2026_genes_and_intergenic.gtf
2025	pgd_r_15_2	Pseudomonas aeruginosa JD329	Pseudomonas aeruginosa	JD329	6806	Contig	SAMN02360650					JD329.contigs	GCF_000506265.1			2090	5143	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD329_2025	Pseudomonas_aeruginosa_JD329_2025.fna	Pseudomonas_aeruginosa_JD329_2025.ffn	Pseudomonas_aeruginosa_JD329_2025_intergenic.fasta	Pseudomonas_aeruginosa_JD329_2025.faa	Pseudomonas_aeruginosa_JD329_2025.txt	Pseudomonas_aeruginosa_JD329_2025.csv	Pseudomonas_aeruginosa_JD329_2025.gbk	Pseudomonas_aeruginosa_JD329_2025.embl	Pseudomonas_aeruginosa_JD329_2025.gff	Pseudomonas_aeruginosa_JD329_2025_seq.gff	Pseudomonas_aeruginosa_JD329_2025.gtf	Pseudomonas_aeruginosa_JD329_2025_genes_and_intergenic.gtf
2024	pgd_r_15_2	Pseudomonas aeruginosa JD325	Pseudomonas aeruginosa	JD325	6826	Contig	SAMN02360647					JD325.contigs	GCF_000506225.1			2141	5101	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD325_2024	Pseudomonas_aeruginosa_JD325_2024.fna	Pseudomonas_aeruginosa_JD325_2024.ffn	Pseudomonas_aeruginosa_JD325_2024_intergenic.fasta	Pseudomonas_aeruginosa_JD325_2024.faa	Pseudomonas_aeruginosa_JD325_2024.txt	Pseudomonas_aeruginosa_JD325_2024.csv	Pseudomonas_aeruginosa_JD325_2024.gbk	Pseudomonas_aeruginosa_JD325_2024.embl	Pseudomonas_aeruginosa_JD325_2024.gff	Pseudomonas_aeruginosa_JD325_2024_seq.gff	Pseudomonas_aeruginosa_JD325_2024.gtf	Pseudomonas_aeruginosa_JD325_2024_genes_and_intergenic.gtf
2023	pgd_r_15_2	Pseudomonas aeruginosa JD324	Pseudomonas aeruginosa	JD324	6861	Contig	SAMN02360646					JD324.contigs	GCF_000506205.1			2181	5054	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD324_2023	Pseudomonas_aeruginosa_JD324_2023.fna	Pseudomonas_aeruginosa_JD324_2023.ffn	Pseudomonas_aeruginosa_JD324_2023_intergenic.fasta	Pseudomonas_aeruginosa_JD324_2023.faa	Pseudomonas_aeruginosa_JD324_2023.txt	Pseudomonas_aeruginosa_JD324_2023.csv	Pseudomonas_aeruginosa_JD324_2023.gbk	Pseudomonas_aeruginosa_JD324_2023.embl	Pseudomonas_aeruginosa_JD324_2023.gff	Pseudomonas_aeruginosa_JD324_2023_seq.gff	Pseudomonas_aeruginosa_JD324_2023.gtf	Pseudomonas_aeruginosa_JD324_2023_genes_and_intergenic.gtf
2020	pgd_r_15_2	Pseudomonas aeruginosa JD317	Pseudomonas aeruginosa	JD317	6876	Contig	SAMN02360641					JD317.contigs	GCF_000506145.1			2043	5466	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD317_2020	Pseudomonas_aeruginosa_JD317_2020.fna	Pseudomonas_aeruginosa_JD317_2020.ffn	Pseudomonas_aeruginosa_JD317_2020_intergenic.fasta	Pseudomonas_aeruginosa_JD317_2020.faa	Pseudomonas_aeruginosa_JD317_2020.txt	Pseudomonas_aeruginosa_JD317_2020.csv	Pseudomonas_aeruginosa_JD317_2020.gbk	Pseudomonas_aeruginosa_JD317_2020.embl	Pseudomonas_aeruginosa_JD317_2020.gff	Pseudomonas_aeruginosa_JD317_2020_seq.gff	Pseudomonas_aeruginosa_JD317_2020.gtf	Pseudomonas_aeruginosa_JD317_2020_genes_and_intergenic.gtf
2021	pgd_r_15_2	Pseudomonas aeruginosa JD320	Pseudomonas aeruginosa	JD320	6761	Contig	SAMN02360643					JD320.contigs	GCF_000506165.1			2038	5333	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD320_2021	Pseudomonas_aeruginosa_JD320_2021.fna	Pseudomonas_aeruginosa_JD320_2021.ffn	Pseudomonas_aeruginosa_JD320_2021_intergenic.fasta	Pseudomonas_aeruginosa_JD320_2021.faa	Pseudomonas_aeruginosa_JD320_2021.txt	Pseudomonas_aeruginosa_JD320_2021.csv	Pseudomonas_aeruginosa_JD320_2021.gbk	Pseudomonas_aeruginosa_JD320_2021.embl	Pseudomonas_aeruginosa_JD320_2021.gff	Pseudomonas_aeruginosa_JD320_2021_seq.gff	Pseudomonas_aeruginosa_JD320_2021.gtf	Pseudomonas_aeruginosa_JD320_2021_genes_and_intergenic.gtf
2022	pgd_r_15_2	Pseudomonas aeruginosa JD322	Pseudomonas aeruginosa	JD322	6719	Contig	SAMN02360644					JD322.contigs	GCF_000506185.1			1868	5962	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD322_2022	Pseudomonas_aeruginosa_JD322_2022.fna	Pseudomonas_aeruginosa_JD322_2022.ffn	Pseudomonas_aeruginosa_JD322_2022_intergenic.fasta	Pseudomonas_aeruginosa_JD322_2022.faa	Pseudomonas_aeruginosa_JD322_2022.txt	Pseudomonas_aeruginosa_JD322_2022.csv	Pseudomonas_aeruginosa_JD322_2022.gbk	Pseudomonas_aeruginosa_JD322_2022.embl	Pseudomonas_aeruginosa_JD322_2022.gff	Pseudomonas_aeruginosa_JD322_2022_seq.gff	Pseudomonas_aeruginosa_JD322_2022.gtf	Pseudomonas_aeruginosa_JD322_2022_genes_and_intergenic.gtf
2019	pgd_r_15_2	Pseudomonas aeruginosa JD316	Pseudomonas aeruginosa	JD316	6633	Contig	SAMN02360640					JD316.contigs	GCF_000506125.1			1882	5578	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD316_2019	Pseudomonas_aeruginosa_JD316_2019.fna	Pseudomonas_aeruginosa_JD316_2019.ffn	Pseudomonas_aeruginosa_JD316_2019_intergenic.fasta	Pseudomonas_aeruginosa_JD316_2019.faa	Pseudomonas_aeruginosa_JD316_2019.txt	Pseudomonas_aeruginosa_JD316_2019.csv	Pseudomonas_aeruginosa_JD316_2019.gbk	Pseudomonas_aeruginosa_JD316_2019.embl	Pseudomonas_aeruginosa_JD316_2019.gff	Pseudomonas_aeruginosa_JD316_2019_seq.gff	Pseudomonas_aeruginosa_JD316_2019.gtf	Pseudomonas_aeruginosa_JD316_2019_genes_and_intergenic.gtf
2018	pgd_r_15_2	Pseudomonas aeruginosa JD328	Pseudomonas aeruginosa	JD328	6709	Contig	SAMN02360649					JD328.contigs	GCF_000506065.1			1851	5857	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD328_2018	Pseudomonas_aeruginosa_JD328_2018.fna	Pseudomonas_aeruginosa_JD328_2018.ffn	Pseudomonas_aeruginosa_JD328_2018_intergenic.fasta	Pseudomonas_aeruginosa_JD328_2018.faa	Pseudomonas_aeruginosa_JD328_2018.txt	Pseudomonas_aeruginosa_JD328_2018.csv	Pseudomonas_aeruginosa_JD328_2018.gbk	Pseudomonas_aeruginosa_JD328_2018.embl	Pseudomonas_aeruginosa_JD328_2018.gff	Pseudomonas_aeruginosa_JD328_2018_seq.gff	Pseudomonas_aeruginosa_JD328_2018.gtf	Pseudomonas_aeruginosa_JD328_2018_genes_and_intergenic.gtf
2459	pgd_r_15_2	Pseudomonas sp. EGD-AK9 EGD-AK9	Pseudomonas sp. EGD-AK9	EGD-AK9	5305	Contig	SAMN02470627					Pseudomonas sp. EGD-AK9	GCF_000465935.1			1016	11837	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_sp__EGD-AK9_EGD-AK9_2459	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.fna	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.ffn	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459_intergenic.fasta	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.faa	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.txt	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.csv	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.gbk	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.embl	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.gff	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459_seq.gff	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459.gtf	Pseudomonas_sp__EGD-AK9_EGD-AK9_2459_genes_and_intergenic.gtf
2017	pgd_r_15_2	Pseudomonas aeruginosa JD326	Pseudomonas aeruginosa	JD326	6805	Contig	SAMN02360648					JD326.contigs	GCF_000506045.1			1982	5760	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD326_2017	Pseudomonas_aeruginosa_JD326_2017.fna	Pseudomonas_aeruginosa_JD326_2017.ffn	Pseudomonas_aeruginosa_JD326_2017_intergenic.fasta	Pseudomonas_aeruginosa_JD326_2017.faa	Pseudomonas_aeruginosa_JD326_2017.txt	Pseudomonas_aeruginosa_JD326_2017.csv	Pseudomonas_aeruginosa_JD326_2017.gbk	Pseudomonas_aeruginosa_JD326_2017.embl	Pseudomonas_aeruginosa_JD326_2017.gff	Pseudomonas_aeruginosa_JD326_2017_seq.gff	Pseudomonas_aeruginosa_JD326_2017.gtf	Pseudomonas_aeruginosa_JD326_2017_genes_and_intergenic.gtf
2014	pgd_r_15_2	Pseudomonas aeruginosa JD312	Pseudomonas aeruginosa	JD312	6677	Contig	SAMN02360636					JD312.contigs	GCF_000505945.1			2017	5108	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD312_2014	Pseudomonas_aeruginosa_JD312_2014.fna	Pseudomonas_aeruginosa_JD312_2014.ffn	Pseudomonas_aeruginosa_JD312_2014_intergenic.fasta	Pseudomonas_aeruginosa_JD312_2014.faa	Pseudomonas_aeruginosa_JD312_2014.txt	Pseudomonas_aeruginosa_JD312_2014.csv	Pseudomonas_aeruginosa_JD312_2014.gbk	Pseudomonas_aeruginosa_JD312_2014.embl	Pseudomonas_aeruginosa_JD312_2014.gff	Pseudomonas_aeruginosa_JD312_2014_seq.gff	Pseudomonas_aeruginosa_JD312_2014.gtf	Pseudomonas_aeruginosa_JD312_2014_genes_and_intergenic.gtf
2015	pgd_r_15_2	Pseudomonas aeruginosa JD315	Pseudomonas aeruginosa	JD315	6676	Contig	SAMN02360639					JD315.contigs	GCF_000505985.1			1913	5728	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD315_2015	Pseudomonas_aeruginosa_JD315_2015.fna	Pseudomonas_aeruginosa_JD315_2015.ffn	Pseudomonas_aeruginosa_JD315_2015_intergenic.fasta	Pseudomonas_aeruginosa_JD315_2015.faa	Pseudomonas_aeruginosa_JD315_2015.txt	Pseudomonas_aeruginosa_JD315_2015.csv	Pseudomonas_aeruginosa_JD315_2015.gbk	Pseudomonas_aeruginosa_JD315_2015.embl	Pseudomonas_aeruginosa_JD315_2015.gff	Pseudomonas_aeruginosa_JD315_2015_seq.gff	Pseudomonas_aeruginosa_JD315_2015.gtf	Pseudomonas_aeruginosa_JD315_2015_genes_and_intergenic.gtf
2016	pgd_r_15_2	Pseudomonas aeruginosa JD323	Pseudomonas aeruginosa	JD323	6508	Contig	SAMN02360645					JD323.contigs	GCF_000506025.1			1965	5315	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD323_2016	Pseudomonas_aeruginosa_JD323_2016.fna	Pseudomonas_aeruginosa_JD323_2016.ffn	Pseudomonas_aeruginosa_JD323_2016_intergenic.fasta	Pseudomonas_aeruginosa_JD323_2016.faa	Pseudomonas_aeruginosa_JD323_2016.txt	Pseudomonas_aeruginosa_JD323_2016.csv	Pseudomonas_aeruginosa_JD323_2016.gbk	Pseudomonas_aeruginosa_JD323_2016.embl	Pseudomonas_aeruginosa_JD323_2016.gff	Pseudomonas_aeruginosa_JD323_2016_seq.gff	Pseudomonas_aeruginosa_JD323_2016.gtf	Pseudomonas_aeruginosa_JD323_2016_genes_and_intergenic.gtf
2463	pgd_r_15_2	Pseudomonas sp. H1h H1h	Pseudomonas sp. H1h	H1h	5690	Contig	SAMN02729852					de novo	GCF_000633255.1			78	236242	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_sp__H1h_H1h_2463	Pseudomonas_sp__H1h_H1h_2463.fna	Pseudomonas_sp__H1h_H1h_2463.ffn	Pseudomonas_sp__H1h_H1h_2463_intergenic.fasta	Pseudomonas_sp__H1h_H1h_2463.faa	Pseudomonas_sp__H1h_H1h_2463.txt	Pseudomonas_sp__H1h_H1h_2463.csv	Pseudomonas_sp__H1h_H1h_2463.gbk	Pseudomonas_sp__H1h_H1h_2463.embl	Pseudomonas_sp__H1h_H1h_2463.gff	Pseudomonas_sp__H1h_H1h_2463_seq.gff	Pseudomonas_sp__H1h_H1h_2463.gtf	Pseudomonas_sp__H1h_H1h_2463_genes_and_intergenic.gtf
2012	pgd_r_15_2	Pseudomonas aeruginosa JD304	Pseudomonas aeruginosa	JD304	6791	Contig	SAMN02360633					JD304.contigs	GCF_000505905.1			2058	5156	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD304_2012	Pseudomonas_aeruginosa_JD304_2012.fna	Pseudomonas_aeruginosa_JD304_2012.ffn	Pseudomonas_aeruginosa_JD304_2012_intergenic.fasta	Pseudomonas_aeruginosa_JD304_2012.faa	Pseudomonas_aeruginosa_JD304_2012.txt	Pseudomonas_aeruginosa_JD304_2012.csv	Pseudomonas_aeruginosa_JD304_2012.gbk	Pseudomonas_aeruginosa_JD304_2012.embl	Pseudomonas_aeruginosa_JD304_2012.gff	Pseudomonas_aeruginosa_JD304_2012_seq.gff	Pseudomonas_aeruginosa_JD304_2012.gtf	Pseudomonas_aeruginosa_JD304_2012_genes_and_intergenic.gtf
2013	pgd_r_15_2	Pseudomonas aeruginosa JD310	Pseudomonas aeruginosa	JD310	6777	Contig	SAMN02360635					JD310.contigs	GCF_000505925.1			2062	5416	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_JD310_2013	Pseudomonas_aeruginosa_JD310_2013.fna	Pseudomonas_aeruginosa_JD310_2013.ffn	Pseudomonas_aeruginosa_JD310_2013_intergenic.fasta	Pseudomonas_aeruginosa_JD310_2013.faa	Pseudomonas_aeruginosa_JD310_2013.txt	Pseudomonas_aeruginosa_JD310_2013.csv	Pseudomonas_aeruginosa_JD310_2013.gbk	Pseudomonas_aeruginosa_JD310_2013.embl	Pseudomonas_aeruginosa_JD310_2013.gff	Pseudomonas_aeruginosa_JD310_2013_seq.gff	Pseudomonas_aeruginosa_JD310_2013.gtf	Pseudomonas_aeruginosa_JD310_2013_genes_and_intergenic.gtf
2007	pgd_r_15_2	Pseudomonas aeruginosa H1l	Pseudomonas aeruginosa	H1l	5936	Contig	SAMN02729854					de novo	GCF_000633495.1			40	451825	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_H1l_2007	Pseudomonas_aeruginosa_H1l_2007.fna	Pseudomonas_aeruginosa_H1l_2007.ffn	Pseudomonas_aeruginosa_H1l_2007_intergenic.fasta	Pseudomonas_aeruginosa_H1l_2007.faa	Pseudomonas_aeruginosa_H1l_2007.txt	Pseudomonas_aeruginosa_H1l_2007.csv	Pseudomonas_aeruginosa_H1l_2007.gbk	Pseudomonas_aeruginosa_H1l_2007.embl	Pseudomonas_aeruginosa_H1l_2007.gff	Pseudomonas_aeruginosa_H1l_2007_seq.gff	Pseudomonas_aeruginosa_H1l_2007.gtf	Pseudomonas_aeruginosa_H1l_2007_genes_and_intergenic.gtf
2006	pgd_r_15_2	Pseudomonas aeruginosa MW3a	Pseudomonas aeruginosa	MW3a	6256	Contig	SAMN02952973					De novo Assembly	GCF_000590905.1			240	79915	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_MW3a_2006	Pseudomonas_aeruginosa_MW3a_2006.fna	Pseudomonas_aeruginosa_MW3a_2006.ffn	Pseudomonas_aeruginosa_MW3a_2006_intergenic.fasta	Pseudomonas_aeruginosa_MW3a_2006.faa	Pseudomonas_aeruginosa_MW3a_2006.txt	Pseudomonas_aeruginosa_MW3a_2006.csv	Pseudomonas_aeruginosa_MW3a_2006.gbk	Pseudomonas_aeruginosa_MW3a_2006.embl	Pseudomonas_aeruginosa_MW3a_2006.gff	Pseudomonas_aeruginosa_MW3a_2006_seq.gff	Pseudomonas_aeruginosa_MW3a_2006.gtf	Pseudomonas_aeruginosa_MW3a_2006_genes_and_intergenic.gtf
2005	pgd_r_15_2	Pseudomonas aeruginosa RB-48	Pseudomonas aeruginosa	RB-48	5792	Contig	SAMN02487176					De Novo Assembly	GCF_000568115.1			183	106392	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_RB-48_2005	Pseudomonas_aeruginosa_RB-48_2005.fna	Pseudomonas_aeruginosa_RB-48_2005.ffn	Pseudomonas_aeruginosa_RB-48_2005_intergenic.fasta	Pseudomonas_aeruginosa_RB-48_2005.faa	Pseudomonas_aeruginosa_RB-48_2005.txt	Pseudomonas_aeruginosa_RB-48_2005.csv	Pseudomonas_aeruginosa_RB-48_2005.gbk	Pseudomonas_aeruginosa_RB-48_2005.embl	Pseudomonas_aeruginosa_RB-48_2005.gff	Pseudomonas_aeruginosa_RB-48_2005_seq.gff	Pseudomonas_aeruginosa_RB-48_2005.gtf	Pseudomonas_aeruginosa_RB-48_2005_genes_and_intergenic.gtf
2002	pgd_r_15_2	Pseudomonas aeruginosa DHS29	Pseudomonas aeruginosa	DHS29	6728	Contig	SAMN02469588	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	Assembly DHS29 of Sep 2013	GCF_000503175.1			267	66667	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_DHS29_2002	Pseudomonas_aeruginosa_DHS29_2002.fna	Pseudomonas_aeruginosa_DHS29_2002.ffn	Pseudomonas_aeruginosa_DHS29_2002_intergenic.fasta	Pseudomonas_aeruginosa_DHS29_2002.faa	Pseudomonas_aeruginosa_DHS29_2002.txt	Pseudomonas_aeruginosa_DHS29_2002.csv	Pseudomonas_aeruginosa_DHS29_2002.gbk	Pseudomonas_aeruginosa_DHS29_2002.embl	Pseudomonas_aeruginosa_DHS29_2002.gff	Pseudomonas_aeruginosa_DHS29_2002_seq.gff	Pseudomonas_aeruginosa_DHS29_2002.gtf	Pseudomonas_aeruginosa_DHS29_2002_genes_and_intergenic.gtf
2003	pgd_r_15_2	Pseudomonas aeruginosa VRFPA07	Pseudomonas aeruginosa	VRFPA07	6795	Contig	SAMN02472099	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	P aeruginosa VRFPA07	GCF_000506805.1			140	84034	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_VRFPA07_2003	Pseudomonas_aeruginosa_VRFPA07_2003.fna	Pseudomonas_aeruginosa_VRFPA07_2003.ffn	Pseudomonas_aeruginosa_VRFPA07_2003_intergenic.fasta	Pseudomonas_aeruginosa_VRFPA07_2003.faa	Pseudomonas_aeruginosa_VRFPA07_2003.txt	Pseudomonas_aeruginosa_VRFPA07_2003.csv	Pseudomonas_aeruginosa_VRFPA07_2003.gbk	Pseudomonas_aeruginosa_VRFPA07_2003.embl	Pseudomonas_aeruginosa_VRFPA07_2003.gff	Pseudomonas_aeruginosa_VRFPA07_2003_seq.gff	Pseudomonas_aeruginosa_VRFPA07_2003.gtf	Pseudomonas_aeruginosa_VRFPA07_2003_genes_and_intergenic.gtf
2004	pgd_r_15_2	Pseudomonas aeruginosa VRFPA08	Pseudomonas aeruginosa	VRFPA08	6712	Contig	SAMN02472103	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	P aeruginosa VRFPA08	GCF_000506885.1			197	70821	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_VRFPA08_2004	Pseudomonas_aeruginosa_VRFPA08_2004.fna	Pseudomonas_aeruginosa_VRFPA08_2004.ffn	Pseudomonas_aeruginosa_VRFPA08_2004_intergenic.fasta	Pseudomonas_aeruginosa_VRFPA08_2004.faa	Pseudomonas_aeruginosa_VRFPA08_2004.txt	Pseudomonas_aeruginosa_VRFPA08_2004.csv	Pseudomonas_aeruginosa_VRFPA08_2004.gbk	Pseudomonas_aeruginosa_VRFPA08_2004.embl	Pseudomonas_aeruginosa_VRFPA08_2004.gff	Pseudomonas_aeruginosa_VRFPA08_2004_seq.gff	Pseudomonas_aeruginosa_VRFPA08_2004.gtf	Pseudomonas_aeruginosa_VRFPA08_2004_genes_and_intergenic.gtf
2479	pgd_r_15_2	Pseudomonas tolaasii 6264	Pseudomonas tolaasii	6264	5970	Contig	SAMN02469594	Pleurotus ostreatus	oyster mushroom	5322	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5322	Pseudomonas tollassii	GCF_000316215.1			688	15117	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_tolaasii_6264_2479	Pseudomonas_tolaasii_6264_2479.fna	Pseudomonas_tolaasii_6264_2479.ffn	Pseudomonas_tolaasii_6264_2479_intergenic.fasta	Pseudomonas_tolaasii_6264_2479.faa	Pseudomonas_tolaasii_6264_2479.txt	Pseudomonas_tolaasii_6264_2479.csv	Pseudomonas_tolaasii_6264_2479.gbk	Pseudomonas_tolaasii_6264_2479.embl	Pseudomonas_tolaasii_6264_2479.gff	Pseudomonas_tolaasii_6264_2479_seq.gff	Pseudomonas_tolaasii_6264_2479.gtf	Pseudomonas_tolaasii_6264_2479_genes_and_intergenic.gtf
